"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"IRL","Ireland","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-01","Jan-2020",,,"0","Units",,,0.182677,,
"IRL","Ireland","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-02","Feb-2020",,,"0","Units",,,0.2026044,,
"IRL","Ireland","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-03","Mar-2020",,,"0","Units",,,-0.2830726,,
"IRL","Ireland","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-04","Apr-2020",,,"0","Units",,,-1.710016,,
"IRL","Ireland","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-05","May-2020",,,"0","Units",,,0.37821,,
"IRL","Ireland","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-06","Jun-2020",,,"0","Units",,,0.4110382,,
"IRL","Ireland","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-07","Jul-2020",,,"0","Units",,,0.1910326,,
"IRL","Ireland","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-08","Aug-2020",,,"0","Units",,,-0.09533417,,
"IRL","Ireland","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-09","Sep-2020",,,"0","Units",,,0.05452865,,
"IRL","Ireland","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-10","Oct-2020",,,"0","Units",,,0,,
"IRL","Ireland","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-11","Nov-2020",,,"0","Units",,,0.5926759,,
"IRL","Ireland","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-12","Dec-2020",,,"0","Units",,,0.2912059,,
"IRL","Ireland","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2021-01","Jan-2021",,,"0","Units",,,-0.5402053,,
