Month,Reporting airport,Type of flight,Arrival/departure,Total Number of passengers,"Total Freight and mail total, tonne","Total Number of passengers, cumulative from the beginning of the year","Total Freight and mail, cumulative from the beginning of the year, tonnes",Helsinki-Vantaa Number of passengers,"Helsinki-Vantaa Freight and mail total, tonne","Helsinki-Vantaa Number of passengers, cumulative from the beginning of the year","Helsinki-Vantaa Freight and mail, cumulative from the beginning of the year, tonnes",Other domestic airports Number of passengers,"Other domestic airports Freight and mail total, tonne","Other domestic airports Number of passengers, cumulative from the beginning of the year","Other domestic airports Freight and mail, cumulative from the beginning of the year, tonnes",International Number of passengers,"International Freight and mail total, tonne","International Number of passengers, cumulative from the beginning of the year","International Freight and mail, cumulative from the beginning of the year, tonnes"
2019M01,Total,Total,Arrivals/departures total,1969169,16265,1969169,16265,276932,55,276932,55,279130,177,279130,177,1413107,16033,1413107,16033
2019M01,Total,Total,Arrivals,984340,7550,984340,7550,129975,41,129975,41,147386,13,147386,13,706979,7495,706979,7495
2019M01,Total,Total,Departures,984829,8715,984829,8715,146957,13,146957,13,131744,164,131744,164,706128,8538,706128,8538
2019M01,Total,Scheduled flight,Arrivals/departures total,1857115,14743,1857115,14743,276649,55,276649,55,278772,177,278772,177,1301694,14511,1301694,14511
2019M01,Total,Scheduled flight,Arrivals,931756,6733,931756,6733,129719,41,129719,41,147185,13,147185,13,654852,6678,654852,6678
2019M01,Total,Scheduled flight,Departures,925359,8010,925359,8010,146930,13,146930,13,131587,164,131587,164,646842,7833,646842,7833
2019M01,Total,Charter flight,Arrivals/departures total,112054,1522,112054,1522,283,0,283,0,358,0,358,0,111413,1522,111413,1522
2019M01,Total,Charter flight,Arrivals,52584,817,52584,817,256,0,256,0,201,0,201,0,52127,817,52127,817
2019M01,Total,Charter flight,Departures,59470,704,59470,704,27,0,27,0,157,0,157,0,59286,704,59286,704
2019M01,Helsinki-Vantaa,Total,Arrivals/departures total,1574950,15841,1574950,15841,0,0,0,0,277569,177,277569,177,1297381,15664,1297381,15664
2019M01,Helsinki-Vantaa,Total,Arrivals,798402,7322,798402,7322,0,0,0,0,146588,13,146588,13,651814,7309,651814,7309
2019M01,Helsinki-Vantaa,Total,Departures,776548,8518,776548,8518,0,0,0,0,130981,164,130981,164,645567,8355,645567,8355
2019M01,Helsinki-Vantaa,Scheduled flight,Arrivals/departures total,1525370,14328,1525370,14328,0,0,0,0,277494,177,277494,177,1247876,14151,1247876,14151
2019M01,Helsinki-Vantaa,Scheduled flight,Arrivals,774769,6509,774769,6509,0,0,0,0,146565,13,146565,13,628204,6496,628204,6496
2019M01,Helsinki-Vantaa,Scheduled flight,Departures,750601,7819,750601,7819,0,0,0,0,130929,164,130929,164,619672,7655,619672,7655
2019M01,Helsinki-Vantaa,Charter flight,Arrivals/departures total,49580,1512,49580,1512,0,0,0,0,75,0,75,0,49505,1512,49505,1512
2019M01,Helsinki-Vantaa,Charter flight,Arrivals,23633,813,23633,813,0,0,0,0,23,0,23,0,23610,813,23610,813
2019M01,Helsinki-Vantaa,Charter flight,Departures,25947,699,25947,699,0,0,0,0,52,0,52,0,25895,699,25895,699
2019M01,Enontekiö,Total,Arrivals/departures total,1769,0,1769,0,0,0,0,0,0,0,0,0,1769,0,1769,0
2019M01,Enontekiö,Total,Arrivals,882,0,882,0,0,0,0,0,0,0,0,0,882,0,882,0
2019M01,Enontekiö,Total,Departures,887,0,887,0,0,0,0,0,0,0,0,0,887,0,887,0
2019M01,Enontekiö,Scheduled flight,Arrivals/departures total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019M01,Enontekiö,Scheduled flight,Arrivals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019M01,Enontekiö,Scheduled flight,Departures,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019M01,Enontekiö,Charter flight,Arrivals/departures total,1769,0,1769,0,0,0,0,0,0,0,0,0,1769,0,1769,0
2019M01,Enontekiö,Charter flight,Arrivals,882,0,882,0,0,0,0,0,0,0,0,0,882,0,882,0
2019M01,Enontekiö,Charter flight,Departures,887,0,887,0,0,0,0,0,0,0,0,0,887,0,887,0
2019M01,Ivalo,Total,Arrivals/departures total,34161,0,34161,0,27308,0,27308,0,18,0,18,0,6835,0,6835,0
2019M01,Ivalo,Total,Arrivals,16222,0,16222,0,13022,0,13022,0,18,0,18,0,3182,0,3182,0
